iter	Passed	Remaining
0	9	9658
1	18	9343
2	23	7800
3	26	6693
4	30	5999
5	33	5528
6	36	5214
7	40	5035
8	43	4820
9	47	4707
10	50	4568
11	54	4488
12	57	4398
13	61	4366
14	65	4285
15	76	4714
16	80	4660
17	92	5069
18	101	5216
19	107	5252
20	116	5440
21	126	5603
22	140	5975
23	151	6176
24	164	6416
25	173	6511
26	180	6492
27	187	6526
28	198	6632
29	211	6842
30	218	6833
31	229	6948
32	241	7078
33	249	7100
34	254	7005
35	261	7010
36	269	7016
37	273	6921
38	276	6823
39	280	6732
40	283	6624
41	286	6531
42	290	6464
43	293	6381
44	297	6316
45	301	6244
46	304	6175
47	307	6106
48	311	6042
49	315	5985
50	318	5923
51	321	5865
52	325	5809
53	328	5757
54	332	5705
55	335	5654
56	338	5603
57	342	5556
58	345	5507
59	349	5470
60	353	5435
61	356	5394
62	358	5335
63	362	5302
64	366	5277
65	370	5238
66	373	5204
67	377	5174
68	381	5153
69	390	5194
70	399	5226
71	403	5201
72	407	5174
73	410	5141
74	414	5106
75	418	5093
76	427	5118
77	432	5110
78	435	5081
79	439	5049
80	442	5016
81	445	4988
82	449	4966
83	452	4935
84	456	4913
85	459	4887
86	463	4861
87	467	4841
88	470	4815
89	474	4792
90	477	4767
91	480	4744
92	483	4720
93	487	4700
94	491	4678
95	495	4670
96	499	4648
97	502	4627
98	506	4607
99	509	4585
100	513	4570
101	517	4552
102	521	4537
103	524	4521
104	528	4503
105	531	4484
106	535	4465
107	538	4447
108	542	4431
109	545	4414
110	550	4409
111	554	4392
112	559	4390
113	562	4373
114	566	4356
115	569	4339
116	573	4327
117	576	4310
118	580	4294
119	583	4279
120	587	4265
121	590	4248
122	594	4235
123	597	4222
124	601	4210
125	604	4194
126	608	4182
127	611	4168
128	615	4156
129	619	4142
130	622	4128
131	625	4113
132	629	4105
133	632	4089
134	635	4075
135	639	4061
136	642	4048
137	645	4034
138	649	4020
139	652	4008
140	656	3997
141	659	3986
142	663	3974
143	666	3961
144	669	3950
145	673	3937
146	676	3927
147	680	3914
148	683	3903
149	686	3890
150	690	3882
151	693	3870
152	697	3861
153	700	3850
154	704	3839
155	707	3827
156	711	3822
157	714	3809
158	718	3800
159	721	3788
160	725	3779
161	728	3768
162	731	3756
163	734	3746
164	738	3735
165	741	3724
166	745	3716
167	748	3704
168	751	3693
169	754	3681
170	757	3673
171	760	3661
172	763	3650
173	766	3640
174	770	3632
175	773	3622
176	777	3614
177	780	3604
178	784	3597
179	787	3588
180	791	3579
181	794	3569
182	797	3560
183	800	3551
184	804	3545
185	807	3534
186	811	3527
187	814	3516
188	817	3506
189	819	3495
190	823	3487
191	826	3478
192	829	3470
193	832	3459
194	835	3450
195	838	3440
196	841	3430
197	845	3422
198	848	3414
199	851	3404
200	854	3397
201	857	3389
202	861	3381
203	864	3372
204	867	3363
205	870	3354
206	873	3345
207	876	3335
208	879	3329
209	882	3320
210	885	3311
211	888	3303
212	891	3294
213	894	3286
214	898	3278
215	900	3269
216	903	3261
217	906	3253
218	909	3244
219	913	3237
220	916	3232
221	919	3223
222	922	3215
223	926	3209
224	929	3200
225	932	3194
226	936	3187
227	939	3182
228	941	3171
229	945	3165
230	948	3158
231	951	3150
232	954	3142
233	957	3134
234	960	3127
235	963	3119
236	966	3112
237	970	3107
238	973	3099
239	976	3093
240	979	3085
241	983	3079
242	986	3072
243	989	3064
244	992	3057
245	995	3050
246	998	3042
247	1001	3036
248	1004	3030
249	1007	3023
250	1010	3015
251	1013	3007
252	1016	3000
253	1019	2992
254	1021	2985
255	1024	2978
256	1027	2971
257	1031	2965
258	1034	2961
259	1039	2957
260	1042	2951
261	1045	2944
262	1048	2937
263	1051	2931
264	1054	2924
265	1056	2915
266	1059	2908
267	1062	2903
268	1066	2897
269	1069	2890
270	1072	2883
271	1075	2877
272	1077	2870
273	1080	2863
274	1083	2857
275	1086	2850
276	1090	2846
277	1093	2839
278	1096	2833
279	1099	2828
280	1102	2822
281	1105	2815
282	1113	2820
283	1121	2827
284	1130	2835
285	1135	2833
286	1138	2828
287	1142	2823
288	1145	2818
289	1148	2812
290	1152	2806
291	1155	2802
292	1159	2798
293	1163	2794
294	1169	2795
295	1172	2789
296	1176	2784
297	1179	2778
298	1183	2774
299	1186	2768
300	1190	2764
301	1193	2758
302	1198	2757
303	1202	2752
304	1206	2748
305	1209	2742
306	1213	2738
307	1216	2732
308	1219	2726
309	1222	2720
310	1225	2714
311	1228	2708
312	1231	2702
313	1234	2696
314	1237	2690
315	1240	2685
316	1244	2681
317	1247	2674
318	1249	2666
319	1252	2660
320	1255	2654
321	1257	2648
322	1261	2643
323	1265	2640
324	1269	2635
325	1272	2631
326	1275	2624
327	1278	2619
328	1281	2612
329	1284	2607
330	1286	2601
331	1289	2595
332	1293	2591
333	1296	2585
334	1300	2581
335	1303	2575
336	1306	2569
337	1308	2563
338	1312	2558
339	1315	2554
340	1318	2548
341	1321	2542
342	1324	2537
343	1327	2531
344	1331	2527
345	1333	2521
346	1337	2516
347	1340	2510
348	1343	2505
349	1345	2499
350	1349	2494
351	1351	2488
352	1354	2483
353	1357	2477
354	1360	2471
355	1363	2466
356	1366	2461
357	1370	2458
358	1375	2456
359	1379	2452
360	1384	2449
361	1387	2445
362	1390	2439
363	1393	2434
364	1397	2430
365	1400	2426
366	1404	2421
367	1406	2416
368	1410	2412
369	1413	2406
370	1416	2401
371	1419	2396
372	1422	2390
373	1425	2385
374	1429	2382
375	1434	2380
376	1443	2384
377	1451	2389
378	1457	2388
379	1467	2393
380	1475	2397
381	1481	2397
382	1491	2402
383	1499	2405
384	1506	2406
385	1513	2406
386	1522	2412
387	1532	2416
388	1540	2419
389	1543	2414
390	1547	2409
391	1549	2404
392	1556	2403
393	1562	2403
394	1572	2408
395	1580	2411
396	1584	2406
397	1587	2401
398	1590	2395
399	1593	2390
400	1596	2384
401	1599	2379
402	1602	2373
403	1605	2368
404	1608	2363
405	1611	2357
406	1614	2351
407	1617	2346
408	1620	2341
409	1623	2336
410	1626	2330
411	1629	2325
412	1632	2320
413	1635	2315
414	1638	2310
415	1641	2304
416	1645	2300
417	1648	2294
418	1651	2289
419	1654	2284
420	1657	2278
421	1660	2273
422	1663	2269
423	1667	2264
424	1669	2259
425	1673	2254
426	1675	2248
427	1680	2245
428	1683	2240
429	1686	2235
430	1689	2230
431	1692	2225
432	1695	2220
433	1698	2215
434	1701	2210
435	1705	2205
436	1708	2200
437	1710	2195
438	1713	2189
439	1717	2185
440	1719	2179
441	1722	2174
442	1725	2169
443	1728	2164
444	1731	2159
445	1734	2154
446	1737	2149
447	1741	2145
448	1745	2141
449	1748	2137
450	1751	2132
451	1754	2127
452	1757	2122
453	1760	2117
454	1763	2112
455	1766	2107
456	1770	2103
457	1774	2099
458	1777	2094
459	1780	2089
460	1783	2084
461	1786	2080
462	1789	2075
463	1792	2070
464	1795	2065
465	1798	2061
466	1801	2056
467	1805	2051
468	1807	2046
469	1810	2042
470	1813	2036
471	1816	2032
472	1819	2027
473	1822	2022
474	1825	2017
475	1829	2013
476	1831	2008
477	1834	2003
478	1838	1999
479	1841	1994
480	1844	1989
481	1846	1984
482	1849	1979
483	1853	1975
484	1856	1971
485	1859	1966
486	1862	1961
487	1865	1957
488	1868	1952
489	1871	1947
490	1874	1942
491	1877	1938
492	1879	1933
493	1883	1928
494	1886	1924
495	1889	1919
496	1892	1915
497	1896	1911
498	1898	1906
499	1901	1901
500	1904	1897
501	1907	1892
502	1910	1887
503	1913	1882
504	1916	1878
505	1919	1874
506	1922	1869
507	1925	1864
508	1928	1860
509	1931	1855
510	1934	1851
511	1937	1846
512	1939	1841
513	1942	1837
514	1945	1832
515	1950	1829
516	1953	1825
517	1956	1820
518	1959	1816
519	1962	1811
520	1966	1807
521	1969	1803
522	1972	1799
523	1975	1794
524	1978	1790
525	1982	1786
526	1985	1781
527	1987	1777
528	1990	1772
529	1993	1768
530	1996	1763
531	2000	1759
532	2003	1755
533	2007	1751
534	2010	1747
535	2013	1742
536	2016	1738
537	2019	1734
538	2023	1730
539	2025	1725
540	2028	1721
541	2031	1716
542	2034	1712
543	2037	1707
544	2040	1703
545	2043	1698
546	2046	1694
547	2049	1690
548	2052	1686
549	2055	1681
550	2059	1678
551	2062	1674
552	2073	1675
553	2082	1676
554	2090	1675
555	2100	1677
556	2103	1673
557	2107	1669
558	2111	1665
559	2116	1662
560	2121	1659
561	2129	1659
562	2139	1660
563	2145	1658
564	2154	1658
565	2159	1655
566	2168	1656
567	2179	1657
568	2186	1656
569	2189	1652
570	2192	1647
571	2195	1642
572	2198	1638
573	2201	1633
574	2204	1629
575	2208	1625
576	2210	1620
577	2213	1616
578	2216	1611
579	2219	1607
580	2222	1602
581	2225	1598
582	2228	1594
583	2232	1589
584	2235	1585
585	2238	1581
586	2241	1576
587	2244	1572
588	2246	1567
589	2249	1563
590	2252	1559
591	2255	1554
592	2258	1549
593	2261	1545
594	2264	1541
595	2267	1536
596	2270	1532
597	2272	1527
598	2275	1523
599	2278	1518
600	2281	1514
601	2284	1510
602	2289	1507
603	2294	1504
604	2302	1503
605	2305	1499
606	2309	1494
607	2311	1490
608	2314	1486
609	2317	1481
610	2320	1477
611	2324	1473
612	2327	1469
613	2329	1464
614	2333	1460
615	2335	1456
616	2338	1451
617	2341	1447
618	2344	1443
619	2347	1438
620	2351	1434
621	2353	1430
622	2357	1426
623	2359	1421
624	2362	1417
625	2365	1413
626	2368	1409
627	2371	1404
628	2374	1400
629	2378	1396
630	2381	1392
631	2384	1388
632	2386	1383
633	2389	1379
634	2392	1375
635	2395	1370
636	2399	1367
637	2403	1364
638	2407	1359
639	2410	1355
640	2413	1351
641	2416	1347
642	2418	1342
643	2421	1338
644	2424	1334
645	2427	1330
646	2431	1326
647	2434	1322
648	2437	1318
649	2440	1313
650	2442	1309
651	2445	1305
652	2448	1301
653	2451	1297
654	2454	1292
655	2457	1288
656	2460	1284
657	2463	1280
658	2467	1276
659	2470	1272
660	2472	1268
661	2475	1264
662	2480	1260
663	2483	1256
664	2486	1252
665	2490	1248
666	2493	1244
667	2495	1240
668	2499	1236
669	2502	1232
670	2504	1228
671	2507	1223
672	2510	1219
673	2513	1215
674	2516	1211
675	2519	1207
676	2523	1204
677	2526	1199
678	2529	1195
679	2532	1191
680	2534	1187
681	2537	1183
682	2541	1179
683	2544	1175
684	2547	1171
685	2550	1167
686	2553	1163
687	2556	1159
688	2559	1155
689	2562	1151
690	2565	1147
691	2568	1143
692	2571	1139
693	2574	1135
694	2577	1131
695	2581	1127
696	2584	1123
697	2587	1119
698	2590	1115
699	2592	1111
700	2595	1107
701	2598	1103
702	2601	1098
703	2604	1095
704	2607	1091
705	2610	1087
706	2613	1083
707	2616	1079
708	2619	1075
709	2622	1071
710	2625	1067
711	2629	1063
712	2632	1059
713	2635	1055
714	2639	1052
715	2642	1048
716	2645	1044
717	2648	1040
718	2650	1035
719	2654	1032
720	2658	1028
721	2661	1024
722	2664	1021
723	2668	1017
724	2671	1013
725	2674	1009
726	2677	1005
727	2680	1001
728	2684	997
729	2687	994
730	2690	990
731	2693	986
732	2696	982
733	2699	978
734	2703	974
735	2705	970
736	2708	966
737	2711	962
738	2714	958
739	2717	954
740	2720	950
741	2724	947
742	2726	943
743	2730	939
744	2733	935
745	2736	931
746	2739	927
747	2741	923
748	2744	919
749	2748	916
750	2751	912
751	2754	908
752	2757	904
753	2760	900
754	2764	896
755	2767	893
756	2770	889
757	2773	885
758	2776	881
759	2779	877
760	2783	874
761	2787	870
762	2790	866
763	2793	862
764	2796	858
765	2799	855
766	2802	851
767	2806	847
768	2809	844
769	2813	840
770	2817	836
771	2820	832
772	2823	829
773	2825	825
774	2828	821
775	2832	817
776	2836	813
777	2838	810
778	2842	806
779	2845	802
780	2848	798
781	2851	794
782	2854	791
783	2857	787
784	2859	783
785	2862	779
786	2865	775
787	2868	771
788	2872	768
789	2876	764
790	2879	760
791	2883	757
792	2886	753
793	2889	749
794	2892	745
795	2895	742
796	2898	738
797	2901	734
798	2904	730
799	2907	726
800	2910	723
801	2913	719
802	2916	715
803	2919	711
804	2922	708
805	2927	704
806	2930	700
807	2933	697
808	2937	693
809	2940	689
810	2943	685
811	2945	682
812	2948	678
813	2951	674
814	2954	670
815	2957	666
816	2960	663
817	2964	659
818	2966	655
819	2969	651
820	2973	648
821	2976	644
822	2979	640
823	2982	637
824	2986	633
825	2989	629
826	2992	625
827	2995	622
828	2998	618
829	3000	614
830	3003	610
831	3006	607
832	3009	603
833	3012	599
834	3015	595
835	3018	592
836	3021	588
837	3025	584
838	3027	580
839	3030	577
840	3033	573
841	3036	569
842	3038	565
843	3042	562
844	3045	558
845	3048	554
846	3051	551
847	3054	547
848	3057	543
849	3060	540
850	3062	536
851	3065	532
852	3069	529
853	3080	526
854	3087	523
855	3102	521
856	3110	519
857	3119	516
858	3122	512
859	3126	508
860	3129	505
861	3131	501
862	3135	497
863	3138	494
864	3141	490
865	3144	486
866	3147	482
867	3150	479
868	3153	475
869	3156	471
870	3160	468
871	3163	464
872	3166	460
873	3169	456
874	3172	453
875	3175	449
876	3178	445
877	3181	442
878	3184	438
879	3198	436
880	3201	432
881	3206	428
882	3210	425
883	3214	421
884	3219	418
885	3222	414
886	3225	410
887	3228	407
888	3231	403
889	3235	399
890	3239	396
891	3242	392
892	3247	389
893	3250	385
894	3255	381
895	3260	378
896	3265	374
897	3268	371
898	3272	367
899	3275	363
900	3278	360
901	3281	356
902	3285	352
903	3288	349
904	3291	345
905	3294	341
906	3297	338
907	3301	334
908	3304	330
909	3307	327
910	3310	323
911	3313	319
912	3317	316
913	3320	312
914	3323	308
915	3327	305
916	3331	301
917	3334	297
918	3337	294
919	3340	290
920	3343	286
921	3346	283
922	3350	279
923	3354	275
924	3358	272
925	3362	268
926	3375	265
927	3378	262
928	3388	258
929	3397	255
930	3401	252
931	3409	248
932	3415	245
933	3420	241
934	3424	238
935	3441	235
936	3446	231
937	3454	228
938	3458	224
939	3467	221
940	3473	217
941	3476	214
942	3481	210
943	3490	207
944	3493	203
945	3505	200
946	3508	196
947	3511	192
948	3517	189
949	3528	185
950	3531	181
951	3538	178
952	3547	174
953	3557	171
954	3560	167
955	3571	164
956	3575	160
957	3578	156
958	3585	153
959	3591	149
960	3594	145
961	3602	142
962	3610	138
963	3618	135
964	3621	131
965	3627	127
966	3636	124
967	3642	120
968	3648	116
969	3653	112
970	3657	109
971	3660	105
972	3665	101
973	3668	97
974	3674	94
975	3680	90
976	3691	86
977	3698	83
978	3704	79
979	3716	75
980	3724	72
981	3730	68
982	3739	64
983	3742	60
984	3747	57
985	3751	53
986	3760	49
987	3767	45
988	3774	41
989	3777	38
990	3780	34
991	3783	30
992	3786	26
993	3789	22
994	3792	19
995	3795	15
996	3798	11
997	3801	7
998	3805	3
999	3808	0
